GENE	Bileck cyt	Bileck Nucl
AGT	100	1
AGTPBP1	100	1
AHCYL2	100	1
AHSA1	100	1
AIDA	100	1
AIMP2	100	1
AK1	100	1
AK3	100	1
AK4	100	1
AK6	100	1
AKAP10	100	1
AKAP11	100	1
AKAP12	100	1
AKAP7	100	1
AKAP7	100	1
AKR1A1	100	1
AKR1B1	100	1
AKR1C3	100	1
AKR7A2	100	1
AKT3	100	1
ALAD	100	1
ALCAM	100	1
ALDH16A1	100	1
ALDH1A3	100	1
ALDH7A1	100	1
ALG1	100	1
ALG11	100	1
ALG2	100	1
ALG5	100	1
ALG9	100	1
ALKBH1	100	1
ALKBH4	100	1
ALKBH7	100	1
ALOX12	100	1
ALOX12B	100	1
ALOX15B	100	1
ALOX5	100	1
AMBP	100	1
AMDHD2	100	1
AMFR	100	1
AMPD2	100	1
AMPD3	100	1
ANK1	100	1
ANKEF1	100	1
ANKLE2	100	1
ANKMY2	100	1
ANKRD13D	100	1
ANKRD17	100	1
ANKRD27	100	1
ANKRD28	100	1
