Gene	Rodriguez_Pineiro_1	Rodriguez_Pineiro_2	Rodriguez_Pineiro_3	Rodriguez_Pineiro_4	Rodriguez_Pineiro_5	Rodriguez_Pineiro_6	Rodriguez_Pineiro_7	Rodriguez_Pineiro_8	Rodriguez_Pineiro_9	Rodriguez_Pineiro_10	Rodriguez_Pineiro_11		Cyt Andreyev	Nucl Andreyev	Microsomes Andreyev	PM Andreyev	ER Andreyev	Mito Andreyev		Cyt Carvalho	Nucl Carvalho	Mit Carvalho		Cyt Boisvert	Nucl Boisvert	Nucleolus Boisvert		Cyt Pinto	Nucl Pinto	Tot Pinto		Cyt Choi	Nucl Choi	Pellet Choi	Nucl soluble Choi		Cyt Mulvey	Nucl Mulvey	Total Mulvey		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar		Cyt Larance	Nucleus Larance	Cytoskeleton Larance	Membrane Larance
PGLS	1	1	1	1	1	1	1	1	1	1	1		134	46	16	1	1	1		76	24	1		92	6	1		24	5	71		100	1	1	1		38	8	55		99	1		94	1	6		92	1	1	8
PGM3	1	1	1	1	1	1	1	1	1	1	1		178	10	12	1	1	1		94	1	6		90	8	1		18	1	82		100	1	1	1		46	5	49		100	1		91	1	9		99	1	1	1
PLAA	1	1	1	1	1	1	1	1	1	1	1		130	14	56	1	1	1		54	45	1		38	46	16		1	1	100		100	1	1	1		100	1	1		100	1		86	1	14		79	1	1	20
PMVK	1	1	1	1	1	1	1	1	1	1	1		168	30	1	1	1	1		87	13	1		97	1	1		4	1	95		100	1	1	1		47	5	48		97	3		80	1	20		93	1	1	7
POLD1	1	1	1	1	1	1	1	1	1	1	1		114	16	70	1	1	1		75	25	1		50	43	7		1	1	100		100	1	1	1		1	1	1		99	1		50	1	50		55	5	1	41
PREP	1	1	1	1	1	1	1	1	1	1	1		132	50	6	1	8	4		82	18	1		90	6	3		42	9	50		100	1	1	1		95	5	1		100	1		92	1	8		100	1	1	1
PRKAR1A	1	1	1	1	1	1	1	1	1	1	1		132	58	10	1	1	1		94	6	1		35	41	24		14	2	84		100	1	1	1		38	12	50		98	2		78	2	20		1	1	1	1
PRMT1	1	1	1	1	1	1	1	1	1	1	1		144	42	12	1	1	1		43	57	1		50	47	3		27	15	58		100	1	1	1		65	35	1		73	27		54	8	38		52	3	2	43
PRPSAP2	1	1	1	1	1	1	1	1	1	1	1		118	68	16	1	1	1		80	20	1		87	12	1		47	2	51		100	1	1	1		59	1	41		99	1		71	1	29		98	1	1	2
RIC8A	1	1	1	1	1	1	1	1	1	1	1		68	48	84	1	1	1		80	20	1		37	61	1		1	1	100		100	1	1	1		45	10	45		100	1		93	1	7		91	1	1	9
