Gene	Cyt Andreyev	Nucl Andreyev	Microsomes Andreyev	PM Andreyev	ER Andreyev	Mito Andreyev
GHITM	1	20	1	28	82	70
GIGYF2	30	1	114	54	1	1
GK	14	36	10	4	28	108
GLA	1	1	6	46	114	36
GLB1	1	1	8	92	80	20
GLG1	1	64	24	50	38	22
GLOD4	118	32	32	1	6	10
GLRX	134	30	38	1	1	1
GLRX5	1	62	1	1	22	116
GLS	1	40	1	1	56	104
GLUD1	1	12	1	4	36	146
GMFB	144	26	32	1	1	1
GMPPA	132	36	32	1	1	1
GMPR2	114	32	36	1	1	16
GMPS	128	44	26	1	1	1
GNA13	1	6	16	142	26	10
GNAI2	1	1	12	154	26	6
GNAI3	6	6	1	142	38	6
GNAQ	1	1	4	118	76	1
GNAS	1	1	4	164	30	1
GNB1	18	36	24	84	18	20
GNB2	1	1	12	172	12	1
GNB2L1	18	12	90	22	48	10
GNL2	40	98	60	1	1	1
GNL3	22	88	70	6	1	14
GNL3L	36	118	22	18	1	6
GNPDA1	162	28	10	1	1	1
GNS	1	18	10	62	82	28
GOLGA2	22	1	90	80	8	1
GOLGA5	1	1	34	68	72	26
GOLGB1	56	46	12	28	42	16
GOLT1B	1	12	18	26	104	38
