Gene	Cyt Thakar	Nucl Thakar	TOT Thakar
COX5B	1	15	84
COX6B1	1	70	30
COX6C	1	55	45
COX7A2	1	81	19
COX7A2L	1	36	64
COX7C	1	92	8
CPA4	1	1	100
CPD	1	14	85
CPNE1	81	2	17
CPNE2	1	100	1
CPNE3	73	11	16
CPNE5	100	1	1
CPNE8	1	1	100
CPOX	1	1	100
CPPED1	59	1	41
CPS1	12	3	85
CPSF1	1	100	1
CPSF2	1	100	1
CPSF3	13	86	1
CPSF3L	5	95	1
CPSF4	1	100	1
CPSF6	16	35	49
CPSF7	8	73	19
CPT1A	1	4	96
CPT2	1	1	100
CRABP2	88	1	12
CRADD	100	1	1
CRBN	100	1	1
CRIM1	50	50	1
CRIP1	85	1	15
CRIP2	90	1	10
CRK	78	1	22
CRKL	74	1	26
CRNKL1	1	100	1
CRTAP	1	82	18
CRYAB	84	1	16
CRYZ	49	1	50
CRYZL1	94	1	6
CS	1	8	92
CSE1L	70	15	14
CSK	76	1	24
CSNK1A1	62	16	22
CSNK1D	1	1	100
CSNK1E	1	63	37
CSNK2A1	32	40	28
CSNK2A2	30	43	27
CSNK2B	40	30	30
CSRP1	66	1	34
CST3	1	1	100
CSTA	40	33	26
CSTB	87	1	12
CSTF1	1	69	31
CSTF2	12	37	51
CSTF2T	1	1	100
CSTF3	1	91	8
CTAG2	97	1	3
CTAGE5	1	1	100
CTBP1	1	1	100
CTBP2	20	7	73
CTCF	50	50	1
CTDP1	1	1	100
CTDSPL2	1	100	1
CTH	70	1	30
CTNNA1	87	1	12
CTNNA2	1	1	100
CTNNAL1	96	1	4
CTNNB1	100	1	1
CTNNBL1	7	71	22
CTNND1	72	1	28
CTPS1	83	1	17
CTPS2	88	1	12
CTR9	1	38	62
CTSC	1	1	100
CTSD	1	1	99
CTSL	12	1	88
CTSZ	12	13	75
CTTN	84	1	16
CTTNBP2NL	100	1	1
CUEDC2	1	1	100
CUL1	76	2	22
CUL2	83	1	16
CUL3	91	1	9
CUL4A	71	2	26
CUL4B	62	1	38
CUL5	91	1	9
CUTA	91	1	9
CUTC	48	6	45
CUX1	1	100	1
CUX1	1	100	1
CWC15	1	100	1
CWC22	1	100	1
CWF19L1	68	3	30
CXADR	1	1	100
CXorf38	84	1	16
CXorf56	49	12	39
CYB5B	1	2	98
CYB5R1	1	54	46
CYB5R3	3	16	81
CYC1	1	28	72
CYCS	23	19	58
CYFIP1	84	1	16
CYP1B1	87	1	13
CYP2S1	1	1	100
CYP4F22	1	100	1
CYP51A1	1	1	100
DAB2	42	1	58
DAB2IP	1	1	100
DAD1	1	33	67
DAG1	9	1	91
DAGLB	1	1	100
DAK	98	1	2
DAP3	1	54	46
DARS	83	1	17
DARS2	1	8	92
DAXX	1	1	100
DAZAP1	12	40	48
DBI	85	1	15
DBN1	1	100	1
DBNL	39	1	61
DBR1	57	1	43
DBT	1	31	69
DCAKD	1	1	100
DCD	7	62	30
DCK	100	1	1
DCP1A	1	1	100
DCPS	73	1	27
DCTN1	86	1	14
DCTN2	76	1	24
DCTN3	68	1	32
DCTN4	93	1	7
DCTN5	1	100	1
DCTN6	95	1	5
DCTPP1	84	1	16
DCUN1D1	85	1	14
DCUN1D5	46	1	53
DCXR	77	1	23
DDA1	1	1	100
DDAH1	67	1	32
DDAH2	100	1	1
DDB1	55	20	25
DDB2	1	100	1
DDI2	92	1	8
DDOST	4	16	80
DDR2	1	1	100
DDRGK1	1	1	100
DDT	80	2	18
DDX1	50	30	20
DDX10	1	100	1
DDX11	1	1	100
DDX17	8	81	12
DDX18	1	100	1
DDX19A	85	1	15
DDX19B	92	1	8
DDX20	72	9	19
DDX21	3	95	2
DDX23	1	92	7
DDX24	1	100	1
DDX27	1	100	1
DDX28	1	12	88
DDX31	1	100	1
DDX3X	47	36	17
DDX41	1	97	3
DDX42	1	65	35
DDX46	8	48	44
DDX47	5	75	20
DDX49	2	92	6
DDX5	10	78	13
DDX50	1	100	1
DDX51	1	100	1
DDX52	1	100	1
DDX54	1	100	1
DDX55	1	69	31
DDX56	1	100	1
DDX58	86	1	14
DDX59	27	1	73
DDX6	85	2	14
DDX60	100	1	1
DECR1	1	13	87
DEGS1	50	50	1
DEK	1	69	30
DENND4C	81	1	19
DENND5B	100	1	1
DENR	84	1	16
DERA	87	3	11
DERL1	1	1	100
DES	1	100	1
DFFA	82	1	18
DFNA5	96	1	4
DGKA	50	50	1
DHCR24	1	1	100
DHCR7	2	3	95
DHFR	72	1	28
DHODH	1	1	100
DHPS	66	1	34
DHRS1	1	1	100
DHRS11	100	1	1
DHRS13	1	1	100
DHRS4	1	1	100
DHRS7	1	1	100
DHRS7B	1	18	82
DHRSX	1	1	100
DHTKD1	1	1	100
DHX15	32	41	26
DHX16	13	63	23
DHX29	62	9	29
DHX30	12	59	29
DHX32	100	1	1
DHX33	1	100	1
DHX34	31	57	12
DHX35	1	100	1
DHX36	58	29	13
DHX37	1	99	1
DHX38	7	43	50
DHX40	1	1	100
DHX57	60	3	37
DHX8	1	96	4
DHX9	7	88	5
DIABLO	1	11	89
