Gene	Cyt Carvalho	Nucl Carvalho	Mit Carvalho
DFFA	74	26	1
DGKA	42	57	1
DGUOK	1	93	7
DHCR24	11	80	9
DHCR7	10	75	14
DHFR	100	1	1
DHODH	5	54	41
DHPS	98	2	1
DHRS2	1	1	100
DHRS4	1	12	88
DHRS7	8	87	5
DHRS7B	8	81	11
DHTKD1	8	47	45
DHX15	26	74	1
DHX16	8	92	1
DHX29	96	1	4
DHX30	23	55	21
DHX36	61	38	1
DHX37	2	95	4
DHX38	20	80	1
DHX57	96	1	4
DHX8	1	100	1
DHX9	9	90	1
DIABLO	22	54	25
DIAPH1	69	31	1
DIDO1	16	83	1
DIEXF	2	97	1
DIP2B	8	87	5
DIS3	16	83	1
DKC1	18	82	1
DLAT	1	78	22
DLD	1	45	55
DLG1	2	60	38
DLG4	1	100	1
DLST	3	53	44
DNAAF5	83	17	1
DNAH11	60	36	4
DNAH5	2	96	1
DNAH7	4	85	11
DNAJA1	47	49	4
DNAJA2	40	55	5
DNAJA3	2	68	30
DNAJA4	72	24	4
DNAJB1	99	1	1
DNAJB11	1	1	100
DNAJB12	7	75	18
DNAJB14	1	18	82
DNAJB6	60	37	3
DNAJC1	1	33	67
DNAJC10	5	39	56
DNAJC11	1	79	20
DNAJC13	69	26	5
DNAJC14	33	33	33
DNAJC17	6	91	3
DNAJC19	1	14	86
DNAJC2	1	100	1
DNAJC25	1	61	39
DNAJC3	20	77	3
DNAJC5	16	22	62
DNAJC7	54	45	1
DNAJC8	42	58	1
DNAJC9	10	89	1
DNM1	29	71	1
DNM1L	48	51	1
DNM2	7	90	3
DNMT1	1	99	1
DNMT3A	1	100	1
DNPEP	84	16	1
DNTTIP1	1	99	1
DOCK10	7	90	3
DOCK11	9	1	91
DOCK2	36	63	2
DOCK7	56	42	2
DOHH	100	1	1
DOLK	1	99	1
DOLPP1	1	99	1
DPAGT1	4	89	7
DPF2	1	100	1
DPH1	100	1	1
DPH2	93	7	1
DPH5	100	1	1
DPM1	6	91	2
DPM3	4	80	16
DPP3	78	22	1
DPP7	50	41	9
DPP9	75	25	1
DPY19L1	1	100	1
DPY30	13	87	1
DPYSL2	70	30	1
DR1	52	48	1
DRAP1	36	64	1
DRG1	51	42	6
DRG2	42	58	1
DST	37	60	3
DSTN	99	1	1
DTD1	51	49	1
DTNBP1	85	11	4
DTYMK	93	3	5
DUS2	99	1	1
DUS3L	100	1	1
DUSP12	48	48	4
DUSP3	1	100	1
DUT	98	2	1
DVL3	99	1	1
DYNC1H1	24	76	1
DYNC1I2	12	87	1
DYNC1LI1	22	47	31
DYNC1LI2	40	60	1
DYNLL1	35	65	1
DYNLL2	25	73	2
DYNLT1	11	89	1
DYNLT3	13	87	1
DYRK1A	97	1	3
DYSF	9	55	36
E2F4	43	57	1
EARS2	9	46	45
EBF2	1	29	71
EBI3	25	64	11
EBNA1BP2	2	97	1
EBP	6	83	11
ECE2	71	29	1
ECH1	3	70	27
ECHS1	2	47	51
ECI1	1	76	24
ECI2	13	62	24
ECM29	61	39	1
ECSIT	1	71	29
EDC3	77	21	2
EDC4	68	32	1
EDEM3	16	78	5
EDF1	100	1	1
EDRF1	88	12	1
EEA1	30	67	3
EED	1	99	1
EEF1A1	36	63	1
EEF1A2	31	69	1
EEF1B2	33	67	1
EEF1D	72	28	1
EEF1E1	54	44	2
EEF1G	36	64	1
EEF2	55	43	2
EEFSEC	52	46	1
EFHD2	84	16	1
EFNB1	1	20	80
EFR3A	1	88	12
EFTUD1	86	14	1
EFTUD2	8	92	1
EGLN1	92	8	1
EHBP1	96	4	1
EHBP1L1	100	1	1
EHD1	12	87	2
EHD4	11	87	2
EHMT1	1	99	1
EHMT2	1	99	1
EI24	1	87	13
EIF1	100	1	1
EIF1AD	33	33	33
EIF1AX	62	37	1
EIF2A	82	17	1
EIF2AK2	75	24	1
EIF2B1	79	21	1
EIF2B2	75	25	1
EIF2B3	97	3	1
EIF2B4	97	3	1
EIF2B5	74	25	1
EIF2D	64	35	1
EIF2S1	41	59	1
EIF2S2	39	59	2
EIF2S3	41	58	1
EIF3A	73	27	1
EIF3B	71	29	1
EIF3C	68	31	1
EIF3D	70	29	1
EIF3E	72	27	1
EIF3F	70	30	1
EIF3G	88	12	1
EIF3H	65	34	1
EIF3I	67	32	1
EIF3J	76	22	2
EIF3K	64	36	1
EIF3L	73	26	1
EIF3M	61	39	1
EIF4A1	52	47	1
EIF4A2	70	29	1
EIF4A3	7	92	1
EIF4B	99	1	1
EIF4E	69	30	1
EIF4E2	99	1	1
EIF4G1	58	39	2
EIF4G2	57	42	1
EIF4G3	1	1	100
EIF4H	96	1	4
EIF5	52	48	1
EIF5A	62	36	2
EIF5B	52	47	1
EIF6	47	53	1
ELAC2	47	47	5
ELAVL1	15	84	1
ELF2	1	100	1
ELL	33	33	33
ELMO1	31	66	2
