"Gene"	"Cyt.Larance"	"Nucleus.Larance"	"Cytoskeleton.Larance"	"Membrane.Larance"
"CHTF8"	45	1	1	54
"CHTOP"	1	54	40	6
"CHURC1"	100	1	1	1
"CIAO1"	72	1	1	28
"CIAPIN1"	94	1	1	6
"CIRBP"	11	44	16	29
"CIRH1A"	1	23	66	11
"CISD1"	1	10	5	85
"CISD2"	1	4	1	96
"CIT"	29	1	8	62
"CKAP4"	1	9	27	65
"CKAP5"	81	5	1	14
"CKB"	96	1	1	4
"CKMT1A"	1	39	1	61
"CKS1B"	74	1	1	26
"CKS2"	70	1	1	29
"CLASP1"	96	1	2	2
"CLCC1"	1	1	1	100
"CLIC1"	76	1	1	23
"CLIC2"	35	41	1	24
"CLIC4"	84	1	1	16
"CLINT1"	4	4	1	92
"CLIP1"	92	1	1	8
"CLIP2"	49	1	1	51
"CLN6"	1	1	1	100
"CLNS1A"	87	1	1	13
"CLPB"	1	3	26	70
"CLPP"	1	3	1	97
"CLPTM1"	1	1	1	100
"CLPTM1L"	1	1	1	100
"CLPX"	1	2	1	98
"CLSPN"	56	3	18	23
"CLTA"	43	6	1	50
"CLTB"	61	3	1	36
"CLTC"	49	4	17	29
"CLU"	1	1	1	100
"CLUH"	90	1	1	10
"CMAS"	1	48	4	47
"CMBL"	100	1	1	1
"CMC1"	1	3	1	96
"CMPK1"	91	1	1	9
"CMSS1"	23	24	4	49
"CMTR1"	75	3	1	22
"CMYA5"	97	1	1	3
"CNDP2"	89	1	1	11
"CNN1"	26	18	27	29
"CNN2"	74	5	1	21
"CNN3"	72	4	8	16
"CNNM3"	1	7	1	93
"CNOT1"	86	1	1	14
"CNOT10"	62	1	1	38
"CNOT2"	100	1	1	1
"CNOT3"	44	1	1	56
"CNP"	4	1	1	95
"CNPY2"	1	4	1	96
"CNPY3"	1	4	1	96
"CNPY4"	1	1	1	100
"CNRIP1"	72	6	1	22
"COA1"	1	16	1	84
"COA3"	1	17	23	60
"COASY"	26	3	2	69
"COG4"	70	1	1	30
"COG7"	92	1	1	8
"COIL"	1	47	18	35
"COL12A1"	1	5	1	94
"COL1A1"	1	2	1	98
"COL4A2"	1	5	27	68
"COL4A3BP"	100	1	1	1
"COL6A1"	1	1	1	100
"COL8A1"	1	75	1	25
"COLGALT1"	1	6	40	54
